STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,BANTVAL,NONE OF THE ABOVE,NONE OF THE ABOVE,946
KARNATAKA,MANGALORE,U.T.ABDUL KHADER,INDIAN NATIONAL CONGRESS,80813
KARNATAKA,MANGALORE,SANTHOSH KUMAR RAI BOLIYARU,BHARATIYA JANATA PARTY,61074
KARNATAKA,MANGALORE,K.ASHRAF,JANATA DAL (SECULAR),3692
KARNATAKA,MANGALORE,NITHIN KUTHAR,COMMUNIST PARTY OF INDIA (MARXIST),2372
KARNATAKA,MANGALORE,USMAN,ALL INDIA MAHILA EMPOWERMENT PARTY,586
KARNATAKA,MANGALORE,NONE OF THE ABOVE,NONE OF THE ABOVE,821
KARNATAKA,MANGALORE CITY SOUTH,D. VEDAVYASA KAMATH,BHARATIYA JANATA PARTY,86545
KARNATAKA,MANGALORE CITY SOUTH,J. R. LOBO,INDIAN NATIONAL CONGRESS,70470
KARNATAKA,MANGALORE CITY SOUTH,SUNIL KUMAR BAJAL,COMMUNIST PARTY OF INDIA (MARXIST),2329
KARNATAKA,MANGALORE CITY SOUTH,R. SRIKAR PRABHU,INDEPENDENT,861
KARNATAKA,MANGALORE CITY SOUTH,RATHNAKARA SUVARNA,JANATA DAL (SECULAR),773
KARNATAKA,MANGALORE CITY SOUTH,MADAN M.C.,INDEPENDENT,708
KARNATAKA,MANGALORE CITY SOUTH,MOHAMMED IQBAL,ALL INDIA MAHILA EMPOWERMENT PARTY,230
KARNATAKA,MANGALORE CITY SOUTH,REENA PINTO,INDEPENDENT,148
KARNATAKA,MANGALORE CITY SOUTH,DHARMENDRA,AKHIL BHARAT HINDU MAHASABHA,97
KARNATAKA,MANGALORE CITY SOUTH,MAHAMMAD KHALID,INDEPENDENT,94
KARNATAKA,MANGALORE CITY SOUTH,SUPREETH KUMAR POOJARY,HINDUSTAN JANTA PARTY,69
KARNATAKA,MANGALORE CITY SOUTH,NONE OF THE ABOVE,NONE OF THE ABOVE,1063
KARNATAKA,MANGALORE CITY NORTH,DR.BHARATH SHETTY. Y,BHARATIYA JANATA PARTY,98648
KARNATAKA,MANGALORE CITY NORTH,B.A.MOHIUDDIN BAVA,INDIAN NATIONAL CONGRESS,72000
KARNATAKA,MANGALORE CITY NORTH,MUNEER KATIPALLA,COMMUNIST PARTY OF INDIA (MARXIST),2472
KARNATAKA,MANGALORE CITY NORTH,P.M. AHAMMAD,ALL INDIA MAHILA EMPOWERMENT PARTY,900
KARNATAKA,MANGALORE CITY NORTH,MAXIM PINTO,INDEPENDENT,355
KARNATAKA,MANGALORE CITY NORTH,SURESH.B.SALIAN,AKHIL BHARAT HINDU MAHASABHA,303
KARNATAKA,MANGALORE CITY NORTH,SUPREETH KUMAR POOJARY,LOK AWAZ DAL,260
KARNATAKA,MANGALORE CITY NORTH,NONE OF THE ABOVE,NONE OF THE ABOVE,1166
KARNATAKA,MOODABIDRI,UMANATHA. A. KOTIAN,BHARATIYA JANATA PARTY,87444
KARNATAKA,MOODABIDRI,K. ABHAYACHANDRA,INDIAN NATIONAL CONGRESS,57645
KARNATAKA,MOODABIDRI,ASHWIN JOSSY PEREIRA,INDEPENDENT,2111
KARNATAKA,MOODABIDRI,JEEVAN KRISHNA SHETTY,JANATA DAL (SECULAR),1845
KARNATAKA,MOODABIDRI,K. YADAVA SHETTY,COMMUNIST PARTY OF INDIA (MARXIST),1114
